時間戳記,原始話術／內部對話,原始內心話語,潤飾後話術,潤飾後內心話語,無奈感 (1–10),被欺壓感 (1–10),羞辱感 (1–10),性別歧視感 (1–10),侮辱性 (1–10),恐懼焦慮 (1–10),壓迫性敘述 (1–10),情緒爆點值 (1–10),委屈沉默 (1–10),語氣強度 (1–10),NLP 總分 (1–100),濃縮金句,適合報導的爆點標題
2025-05-15T10:20:44,"最常聽到的是：「這責任額不高啦，大家都做得到了，就差你了」、「你這樣年終可能不保喔」，還有一句幾乎每次IPO都會聽到的：「錢自己準備好，必要的話就信貸一下，不然這季怎麼過？」

曾經有個主管在晨會上直接講：「某某上次達不到就是因為不夠努力，人家XX就自己買了 300 萬，你們連一半都不到，是怎樣？」講得像不達標就是不努力，問題是根本不是人人家裡都有錢可以這樣扛。還有一次，分公司經理說：「你們不想做就講，我可以叫新人來頂，現在一堆人搶這個位置」，這種「不做就滾」的話術，其實每一場IPO開賣前都在我們心裡埋下一顆炸彈。

我也聽過很誇張的，某券商有個理專被叫去經理辦公室，主管淡淡地說：「你這次沒達到，我把你上次報的客戶名單重新分給別人處理囉，這樣你比較輕鬆。」實際上就是直接把客戶剝奪給別人，沒達業績就會失去過去耕耘的成果。當場那個同事沒哭出來，但整整一個月都低頭沉默，氣氛超壓抑。","說真的，我已經很久沒有覺得自己是個「正常工作的人」了。在這個產業，我們的價值不是被當作專業顧問看待，而是像被逼迫販賣業績的工具。每次IPO來的時候，大家都要先確認「自己準備了多少錢」，不是幫客戶選好產品，而是先確保自己可以補多少洞。

我想對公司說：你們看到的是回單跟總銷數字，但你們有看到我們每天為了那些數字，壓力大到吃不下睡不著的樣子嗎？你知道我們裡面有人為了責任額去貸款、去質押保單，甚至把自己的儲蓄清空嗎？你知道有人被當眾罵「丟公司的人」之後就請假三天，沒講一句話，只說「想靜一靜」嗎？

主管們說：「這就是行規」，但你們從來不是真的在現場call客、跑拜訪、處理客戶的抱怨。你們拿著回單笑，我們在後面哭。你們說這是目標管理，我們看到的是恐嚇式PUA。你們在KPI報告會上說「我們分行很拼」，但你們有沒有想過，我們拼到最後只剩一張醫生診斷證明？

我不怕說這些，因為我相信如果大家都沉默，我們會一直被這制度踩在腳下。我們不是不願意努力，我們只是希望這個行業能把人當人看，而不是一個可以隨時補上責任額的數字產出機器。

所以，如果可以匿名說一句話，我只想說：

「我想好好工作，不想靠信貸生存；我想被當作人看，而不是一個被逼買單的業績工具。」

如果你們還有一點點良知，請你們停止用責任額制度剝削人，停止用假象的獎金制度操控人。讓我們重新找回尊嚴與價值，不要讓這份工作變成讓人得焦慮症的根源。","主管以「責任額不高、大家都做到、影響年終、自己信貸、不夠努力、不做就滾、剝奪客戶」等話術施壓。","深感被當作業績工具而非專業人士，壓力巨大至影響身心健康，渴望尊嚴與合理工作環境，呼籲停止剝削。",9,10,8,1,7,9,9,9,9,9,80,"我想好好工作，不想靠信貸生存；我想被當作人看，而不是業績工具。","金融風暴！員工泣訴：我們是人，不是靠信貸生存的業績工具！"
2025-05-15T11:23:39,"主管在他的私人辦公室對某同事大吼：不然你去告我啊！你這麼厲害你去告嘛！？全辦公室都聽得到的聲音，只因為同事去爭取被移轉出去的客戶的權益","從來沒有遇過這麼過分的主管，最近因為IPO事件才有所收斂，但仍然在晨會明示暗示我們不要給他惹事不然他不會讓我們好過","主管辦公室大吼「不然你去告我啊！」，全辦公室聽聞。","主管過分，IPO事件後稍收斂，仍暗示別惹事否則不好過。",8,9,7,1,8,7,8,7,6,8,74,"「不然你去告我啊！」主管囂張跋扈，事後仍暗示報復。","惡主管囂張嗆「你去告我啊！」 IPO風波後仍放話：別惹我！"
2025-05-15T11:25:29,"業績做不到年底考績怎麼打？最近要做行員適評性，乖一點吧！","銀行不是保險公司 不要再逼我們賣保險了 主管沒什麼了不起 只是你們比較會阿諛奉承 所以沒實力的主管請閉嘴","「業績做不到，考績怎麼打？乖一點！」主管以考績威脅。","銀行非保險公司，別逼賣保險。主管靠奉承上位，沒實力請閉嘴。",7,8,6,1,6,7,7,6,7,7,68,"「業績做不到，考績怎麼打？乖一點！」主管以考績威脅。","拒當保險推銷員！銀行員怒吼：別再逼我們賣保險！主管請閉嘴！"
2025-05-15T11:25:55,"其他人都做得到，你為什麼做不到，那你要檢討自己的問題嘛！","每次都用恐嚇的話語，就像氣球一樣，過分的擠壓會導致壓力爆開","「別人都做到，你為何做不到？檢討自己！」主管施壓。","恐嚇話語如擠壓氣球，壓力過大會爆開。",7,8,7,1,5,7,8,6,6,7,68,"「別人都做到，你為何做不到？檢討自己！」主管施壓。","「別人都做到你為何不行？」員工：恐嚇話語如擠壓氣球，遲早爆開！"
2025-05-15T11:28:10,"1.我沒有要你買！我要你去行銷！ 2.大家都做到了，為什麼你現在都還沒做到？ （一直以約談的名義實則逼到讓你自己買，因為沒有直接說出要你買，所以持續老神在在）","不要逼迫我們自己買，不要當成考核之一！我們薪水很少，平常事務工作也是花體力花精力賺錢來的！我是來賺錢的！不是來買工作的！要行銷我可以！明明投資基金，買保險產險都是有需求才會去做的事情，變成逼迫某個時段就要達成目標、案件數，如果不自己買，有辦法在這時間點達到嗎？投資本來就是你情我願，為什麼投資變成推銷客戶買？那賠了是不是客戶可以投訴？是你逼我去買的！信用卡也是！真的就沒客戶！大家都是辦了就剪，互相交換！甚至花錢買卡的！到底有什麼意義！","主管表面喊行銷，實則逼員工自購：「大家都做到，你為何還沒？」","拒絕被逼自購，薪水微薄是來賺錢非買工作。投資應你情我願，而非強迫推銷，花錢買卡無意義。",9,9,7,1,6,8,9,8,8,8,77,"主管表面喊行銷，實則逼員工自購：「大家都做到，你為何還沒？」","假行銷真強迫！員工泣訴：薪水微薄，不是來花錢買工作！"
2025-05-15T11:28:42,"某券商常以身上的資源都是公司給的隨時都可以拿回、你不經營我直接轉走客戶、ipo不達標留下來call客表以外還把營業員跟客戶錄音在公眾场合播出、只會縱容業績好的營業員業績不好的處處針對（舉例：每次開會當眾拉出你檢討）","主管不會帶人常以施加壓力對待營業員，應該以公平原則對待營業員，不要只會欺負新人、資深的員工不敢得罪","主管威脅收回資源、轉走客戶、公開錄音、當眾檢討，針對業績差者。","主管施壓不公，應公平對待，勿欺負新人縱容資深。",8,9,9,1,7,8,9,8,8,8,79,"主管威脅收回資源、轉走客戶、公開錄音、當眾檢討，針對業績差者。","惡劣主管手段盡出：收資源、搶客戶、公審錄音，專欺壓榨新人！"
2025-05-15T11:35:37,"某些主管：你只做個幾萬不太好吧？不要覺得有做就好，敷衍了事，那會反映在你的考績上。","才進銀行2個月，領到實際的薪水還沒有責任額高，試用期都還沒過就要扛責任額，我都不用生活不用吃喝拉撒嗎？每天忙得要死還要被情勒說ipo影響考績，那我平常的努力算什麼回事？我當然想幫分行，但誰幫過我？想要有好的業績是這樣語帶威脅的要求自己的員工嗎？我是家裡有礦還是祖產太多？可以一進銀行就瘋狂買買買？一檔接著一檔，永遠做不完的責任額會不會造成負面反效果？反正就多花錢考績就好，有的同事覺得反正薪水都要買ipo上班就隨便做，這真的是職場良好的風氣嗎？","主管暗示業績影響考績：「只做幾萬不太好吧？不要敷衍了事。」","新人薪水不敵責任額，試用期就扛重擔，威脅式管理與情勒影響工作態度，非良好風氣。",9,9,7,1,6,8,8,7,8,8,75,"主管暗示業績影響考績：「只做幾萬不太好吧？不要敷衍了事。」","新人悲歌！薪水不敵責任額，試用期就扛百萬業績，主管威脅影響考績！"
2025-05-15T11:41:22,"第一金證券某主管教授用「話術」二字來讓客戶投入購買ETF，客戶是我們營業員在經營維護，而不是用坑蒙拐騙直銷方式誘哄，話術、話術，違背操守、人品，這與詐騙集團無異；實在可惡！","第一金證券標榜幸福企業，實際上確是不實，在銷售ETF這一塊上，主管只會一昧要求下屬全體營業員使命必達，自己卻絲毫不出，自私行徑，實在可惡！","主管教唆用「話術」誘騙客戶，如同詐騙，違背操守。","幸福企業不實，主管要求使命必達卻自私不出，可惡至極。",7,8,7,1,8,7,8,8,6,7,74,"主管教唆用「話術」誘騙客戶，如同詐騙，違背操守。","幸福企業攏是假？主管教唆「話術」誘客，員工怒斥：與詐騙集團無異！"
2025-05-15T11:47:23,"沒做到，對不起其他有做到的同事，所以要移轉你的客戶補償給其他人","不要包山包海，每檔IPO都要承銷，每檔距離近不說類似的都擠在一起","「沒做到，對不起同事，移轉客戶補償他人。」主管情勒並剝奪資源。","別再包山包海，IPO密集令人疲憊。",8,9,6,1,5,7,8,6,7,7,68,"「沒做到，對不起同事，移轉客戶補償他人。」主管情勒並剝奪資源。","「沒達標就搶客戶！」主管情勒轉移資源，員工嘆IPO包山包海！"
2025-05-15T11:48:37,"ipo未達標就是拿資源不做事，0%跟99%一樣是都未達標，未達100%就抽走你的前五大客戶。","鳥券商的蓮花就是欺善怕惡，不平等待遇，獎勵說了從沒實現，只會恐嚇懲處，當配合的員工都是傻子。硬性規定要買自家人的爛禮盒，圖利。","「IPO未達標就抽走前五大客戶！」主管恐嚇並實施不平等對待。","鳥券商主管欺善怕惡，獎勵空談只會恐嚇，強迫買禮盒圖利。",8,9,7,1,7,8,9,7,7,8,77,"「IPO未達標就抽走前五大客戶！」主管恐嚇並實施不平等對待。","「未達100%就搶大戶！」鳥券商主管欺善怕惡，員工怒控圖利自家人！"
